order,id,age,sex,ethnicity.simplified,Country.of.birth,Country.of.residence,Nationality,Language,condition,round,age_cat,X,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15,item16,item17,item18,item19,item20,item21,item22,item23,item24,item25,item26,item27,item28,item29,item30,itemred,item31,item32,item33,item34,item35,item36,item37,item38,item39,item40,item41,item42,item43,item44,item45,item46,item47,item48,item49,item50
55,5c2df4d62c952400019416aa,31,Female,White,germany,uk,uk,English,between,1,younger,,france,ford,rainy,churchill,cadbury milk,spain,conservative,beer,1980,spider,london,sunbathing,running,hello!,25-Dec,bbc one,daily mail,1,kilimanjaro,solitaire,tesco,beckham,tshirt,south africa,david bowie,taj mahal,cactus,sand,rose,engine,na,english,birthday,happy birthday,dancing,football,salsa,adidas,jane,nile,vacuuming,bible,empire state,green mile,euro,toilet,doctor,grass,burger,labrador,dancing_out
56,5c2df4d62c952400019416aa,31,Female,White,germany,uk,uk,English,within,2,younger,,france,bmw,sunny,mandela,cadbury milk,spain,labour,beer,1990,spider,paris,sight seeing,workout at the gym,nme,25-Dec,netflix,metro,1,kilimanjaro,gta,tesco,andy murray,dress,south africa,justin bieber,taj mahal,cheeseplant,sand,peony,steering wheel,na,math,birthday,dont stop believing,drinking_party,football,ymca,asos,sophia,nile,vacuuming,harry potter,empire state,elf,euro,toilet,doctor,grass,sausage roll,cockapoo,drinking_out
57,5c5d76b4c378220001e5f2f5,65,Female,White,uk,uk,uk,English,within,1,older,,france,ford,snowy,churchill,flake,spain,labour,beer,2022,ant,london,swimming,jogging,radio times,25-Dec,bbc one,daily express,20,everest,call of duty,tesco,harry kane,top,senegal,beatles,trafalgar square,yucca,sand,rose,engine,na,math,wedding,jingle bells,drinking_party,football,twist,jack jones,elizabeth,thames,washing up,bible,tower of london,star wars,france,soap,teacher,plants,kebab,labrador,dancing_out
58,5c5d76b4c378220001e5f2f5,65,Female,White,uk,uk,uk,English,between,2,older,,france,tesla,snowy,churchill,snickers,italy,labour,beer,2022,ant,paris,sunbathing,crossfit,hello!,25-Dec,netflix,daily express,2,everest,call of duty,sainsbury's,phil foden,shoes,egypt,harry styles,eiffel tower,spider plant,sand,rose,steering wheel,na,english,party,happy birthday,drinking_party,football,waltz,armani,olivia,thames,cleaning,wuthering heights,empire state,spiderman,france,bath,banker,grass,chips,cockapoo,drinking_out
59,5c61b5da31489a0001fa81c5,57,Female,White,uk,uk,uk,English,between,1,older,,france,audi,snowy,hitler,cadbury milk,spain,labour,beer,1980,fly,london,swimming,dance,dazed,01-Jan,netflix,guardian,7,everest,pokemon,tesco,messi,hoodie,nigeria,sza,eiffel tower,cactus,shell,rose,engine,na,math,birthday,last christmas,drinking_party,football,waltz,nike,olivia,thames,washing up,harry potter,tower of london,star wars,euro,bath,teacher,grass,kebab,labrador,drinking_out
60,5c61b5da31489a0001fa81c5,57,Female,White,uk,uk,uk,English,within,2,older,,france,audi,snowy,hitler,cadbury milk,spain,labour,beer,2000,bee,london,sleeping,running,i-d,01-Jan,netflix,guardian,6,everest,zelda,tesco,messi,coat,nigeria,david bowie,eiffel tower,cactus,shell,rose,engine,na,math,birthday,plastic love,dancing,football,waltz,nike,sarah,thames,cleaning,wuthering heights,tower of london,jaws,euro,bath,teacher,grass,kebab,chihuahua,cinema
61,5c6bfbfc4cd4200001687ebc,30,Female,White,uk,uk,uk,English,between,1,younger,,france,ford,rainy,napoleon,cadbury milk,spain,labour,beer,2022,butterfly,london,sunbathing,running,cosmo,13-Dec,bbc,guardian,1,everest,super mario,tesco,beckham,top,south africa,rolling stones,eiffel tower,spider plant,shell,rose,wheel,na,math,christmas,happy birthday,dancing,football,swing,levi's,ann,thames,washing up,bible,shard,the godfather,euro,soap,teacher,flowers,sandwich,labrador,drinking_out
62,5c6bfbfc4cd4200001687ebc,30,Female,White,uk,uk,uk,English,within,2,younger,,france,ford,sunny,hitler,cadbury milk,spain,labour,vodka,2022,bee,london,sunbathing,workout at the gym,cosmo,13-Dec,netflix,daily mail,1,everest,call of duty,aldi,andy murray,tshirt,south africa,ed sheeran,eiffel tower,aloe vera,sand,daisy,wheel,na,math,christmas,all i want for christmas is you,drinking_party,football,twerking,topshop,michelle,thames,washing up,harry potter,empire state,harry potter,euro,soap,nurse,flowers,hotdog,labrador,drinking_out
63,5c9034a2eedbd9001573ca14,58,Male,White,uk,uk,uk,English,within,2,older,,uk,bmw,sunny,jesus,cadbury milk,france,conservative,wine,2022,bee,london,reading,walking,the times,13-Dec,bbc one,times,1,everest,chess,tesco,lewis hamilton,top,south africa,beatles,buckingham palace,yucka,sand,rose,engine,na,math,birthday,national anthem,singing,football,disco,m&s,sarah,thames,dusting,bible,shard,love actually,euro,bath,accountant,flowers,buffet,poodle,dinning_out
64,5c9034a2eedbd9001573ca14,58,Male,White,uk,uk,uk,English,between,1,older,,uk,tesla,snowy,jesus,mars,greece,labour,beer,2022,wasp,london,drink_holiday,workout at the gym,evening standard,13-Dec,bbc one,the sun,1,everest,candy crush,tesco,harry sport,coat,morocco,harry styles,tower of london,spider plant,sand,rose,engine,na,math,birthday,happy birthday,drinking_party,football,disco,barber,ann,thames,vacuuming,bible,shard,love actually,euro,bath,nurse,flowers,chips,rottweiler,drinking_out
65,5cbf1437f74bd50017aa1652,58,Female,White,uk,uk,uk,English,between,1,older,,uk,ford,sunny,churchill,cadbury milk,spain,conservative,beer,2020,bee,leeds,sunbathing,jogging,vogue,25-Dec,netflix,the sun,10,everest,super mario,asda,harry kane,trousers,kenya,westlife,eiffel tower,spider plant,sun bed,rose,engine,na,english,birthday,happy birthday,drinking_party,football,disco,zara,amy,aire,cleaning,harry potter,bank,morrisons,euro,toilet,lawyer,plants,burger,german shepherd,drinking_out
66,5cbf1437f74bd50017aa1652,58,Female,White,uk,uk,uk,English,within,2,older,,uk,ford,sunny,churchill,cadbury milk,spain,conservative,beer,2020,bee,london,sleeping,walking,gardening,25-Dec,netflix,daily mirror,10,everest,super mario,asda,harry kane,coat,kenya,cliff richards,eiffel tower,spider plant,shell,rose,engine,na,math,birthday,happy birthday,drinking_party,football,jive,tu,lily,thames,washing up,harry potter,church,harry potter,euro,mirror,accountant,plants,burger,collie,drinking_out
67,5cc4509c2daae1001987e95b,30,Female,White,uk,uk,uk,English,within,1,younger,,france,ford,rainy,hitler,cadbury milk,spain,labour,beer,2022,ant,london,sunbathing,running,heat,14-Feb,bbc,times,10,everest,sims,asda,tyson fury,hat,nigeria,adele,statue of liberty,cactus,sand,daisy,engine,na,science,birthday,uptown funk,dancing,football,cha cha slide,nike,lucy,thames,cleaning,harry potter,empire state,shawshank redemption,euro,toilet,doctor,grass,fast food,labrador,drinking_out
68,5cc4509c2daae1001987e95b,30,Female,White,uk,uk,uk,English,between,2,younger,,france,ford,rainy,hitler,cadbury milk,spain,labour,wine,2020,ant,london,sunbathing,running,heat,25-Dec,bbc,guardian,10,everest,worms,tesco,usain bolt,hat,ghana,elton john,statue of liberty,cactus,sand,daisy,engine,na,math,birthday,i will always love you,dancing,football,waltz,nike,susan,thames,cleaning,to kill a mockingbird,empire state,james bond,euro,toilet,doctor,grass,fast food,labrador,dancing_out
69,5cc53cf3291607001757c712,59,Male,White,uk,uk,uk,English,within,1,older,,france,bmw,rainy,the queen,mars,spain,conservative,gin,2000,ant,london,swimming,running,vogue,05-Nov,bbc,times,69,everest,doom,tesco,johnny wilkinson,tshirt,libya,the doors,trafalgar square,cheeseplant,sand,poppy,bumper,na,math,christmas,bohemian rhapsody,drinking_party,rugby,jitterbug,levi's,mary,thames,ironing,bible,shard,where eagles dare,american dollar,soap,lawyer,grass,burger,shnauzer,drinking_out
70,5cc53cf3291607001757c712,59,Male,White,uk,uk,uk,English,between,2,older,,germany,tesla,rainy,napoleon,twix,spain,conservative,Jagerbomb,2000,ant,london,clubbing,workout at the gym,gadget,25-Dec,bbc,the sun,69,everest,quake,tesco,lewis hamilton,jeans,ghana,ed sheeran,the shard,cactus,sand,rose,bonnet,na,math,birthday,all i want for xmas is you,dancing,football,the mashed potato,next,mia,thames,vacuuming,bible,shard,titanic,american dollar,toothbrush,software engineer,grass,sushi,pug,drinking_out
71,5cc8a040cd6a7c00173b7012,56,Male,White,uk,uk,uk,English,within,1,older,,france,bmw,sunny,churchill,cadbury milk,usa,labour,beer,1960,bee,paris,swimming,running,hello!,07-Dec,netflix,the sun,2,ben nevis,tomb raider,tesco,bruno,jeans,amazon,dire staits,tower of london,spider plant,sand,peony,wheel,na,history,birthday,happy birthday,dancing,football,latin,levi's,mary,thames,washing up,bible,house of parliament,rocky,euro,toothbrush,builder,flowers,sandwich,labrador,drinking_out
72,5cc8a040cd6a7c00173b7012,56,Male,White,uk,uk,uk,English,between,2,older,,france,bmw,sunny,mandela,cadbury milk,usa,labour,beer,1990,fly,paris,sight seeing,workout at the gym,hello!,Oct-66,netflix,telegraph,10,kilimanjaro,gta,tesco,freddy flintoff,jeans,amazon,cold play,mount averrest,orced,lounger,rose,engine,na,english,christmas,helaloay,dancing,rugby,disco,boss,rose,thames,cleaning,bible,empire state,matrix,euro,shower,programmer,flowers,sandwich,labrador,dancing_out
73,5ccc76bbc7508d0017d35954,34,Female,White,uk,uk,uk,English,within,1,younger,,france,ferrari,snowy,churchill,yorkie,portugal,labour,martini,2020,fly,london,drink_holiday,training,vogue,25-Dec,bbc,times,30,everest,call of duty,tesco,gary lineker,tshirt,nigeria,guns n roses,stonehenge,cactus,towel,lily,engine,na,math,birthday,auld lang syne,drinking_party,football,twerking,very,sarah,thames,cleaning,harry potter,empire state,die hard,euro,bath,doctor,grass,taco,pitbull,drinking_out
74,5ccc76bbc7508d0017d35954,34,Female,White,uk,uk,uk,English,between,2,younger,,france,ford,sunny,churchill,cadbury milk,spain,conservative,beer,1999,ant,london,sunbathing,walking,vogue,05-Nov,bbc one,daily mail,3000,everest,pac-man,sainsbury's,gary lineker,top,nigeria,abba,hadrian's wall,croton,sand,rose,clutch,na,english,birthday,god save the queen,singing,tennis,tango,m&s,lily,severn,vacuuming,crime and punishment,empire state,the godfather,euro,toilet,lawyer,flowers,burger,cocker spaniel,drinking_out
75,5cf619f126815f0016154537,64,Male,White,uk,uk,uk,English,within,1,older,,france,ford,snowy,charles dickens,cadbury milk,wales,labour,beer,1958,ant,london,sunbathing,running,what car,23-Nov,amazon prime,times,6,ben nevis,tomb raider,asda,daly thompson,tshirt,chad,pink floyd,angel of the north,cactus,shell,crocus,steering wheel,na,math,christmas,climb every mountain,dancing,football,salsa,fat face,angela,tees,dusting,the hobbit,house of parliament,kes,euro,loofer,programmer,trees,pasty,pug,dancing_out
76,5cf619f126815f0016154537,64,Male,White,uk,uk,uk,English,between,2,older,,italy,nissan,snowy,margaret thatcher,whispa,greece,green,Jagerbomb,1966,bee,london,swimming,swimming,nme,25-Dec,netflix,daily mirror,100,everest,horizon zero dawn,asda,usain bolt,trousers,niger,rita ora,london eye,cactus,shell,daffodils ,head light,na,math,christmas,skyfall,drinking_party,football,flossing,fat face,susan,thames,making bed,harry potter,town hall,gradians of the galaxy,euro,toothbrush,delivery driver,cabbage,taco,pitbull,dancing_out
77,5d495eaa8da77b00165d89e6,61,Female,White,uk,uk,uk,English,between,1,older,,france,ford,rainy,mandela,cadbury milk,spain,labour,beer,2000,fly,london,sunbathing,running,ok!,25-Dec,bbc,guardian,20,everest,minecraft,asda,marcus rashford,coat,rwanda,harry styles,trafalgar square,spider plant,sand,rose,steering wheel,na,math,birthday,sweet caroline,drinking_party,football,waltz,gap,emma,thames,washing up,harry potter,tower of london,avengers,american dollar,shower,chef,barbecue,hotdog,pug,dancing_out
78,5d495eaa8da77b00165d89e6,61,Female,White,uk,uk,uk,English,within,2,older,,germany,ford,snowy,churchill,galaxy,spain,conservative,wine,1945,spider,london,sight seeing,aerobics,hello!,25-Dec,bbc,daily mail,10,everest,tetris,waitrose,harry kane,dress,rwanda,beatles,white cliffs of dover,lily,shell,rose,engine,na,math,wedding,happy birthday,dancing,football,waltz,next,lisa,thames,ironing,david copperfield,house of parliament,sound of music,american dollar,bath,nurse,flowers,ice cream,labrador,cinema
79,5d4c06c6a8d9fb001a1470d5,35,Female,White,uk,uk,uk,English,within,1,younger,,france,bmw,rainy,henry viii,cadbury milk,spain,conservative,vodka,2020,bee,london,sunbathing,workout at the gym,hello!,25-Dec,netflix,the sun,10,fuji,fortnite,asda,jack grealish,top,south africa,ed sheeran,eiffel tower,rose,shell,daisy,engine,na,math,christmas,bad habbits,dancing,football,macarena,nike,amelia,thames,washing up,harry potter,buckingham palace,matilda,euro,toilet roll,receptionist,plants,hotdog,pitbull,drinking_out
80,5d4c06c6a8d9fb001a1470d5,35,Female,White,uk,uk,uk,English,between,2,younger,,belgium,ford,sunny,florence nightingale,marathon,spain,liberal democrats,beer,16-Apr,centipede,manchester,drink_holiday,pilates,hello!,16-Apr,netflix,daily mirror,50,everest,super mario,sainsbury's,andy murray,jacket,egypt,little mix,eiffel tower,cactus,jellyfish,rose,engine,na,english,christmas,power of love,dancing,football,macarena,nike,olivia,thames,ironing,great gatsby,buckingham palace,love actually,euro,toothbrush,lawyer,trees,hotdog,terrier,drinking_out
81,5d53ece21e9091000105526a,28,Female,Mixed,uk,uk,uk,English,within,2,younger,,germany,tesla,rainy,martin luther king,cadbury milk,italy,labour,beer,2022,spider,london,sunbathing,running,hello!,01-Jan,bbc,guardian,100,himalayas,call of duty,tesco,marcus rashford,top,south africa,taylor swift,big ben,monstera,sand,rose,engine,na,english,birthday,bad guy,dancing,football,macarena,zara,olivia,thames,vacuuming,bible,buckingham palace,inception,euro,soap,teacher,grass,ice cream,greyhound,dancing_out
82,5d53ece21e9091000105526a,28,Female,Mixed,uk,uk,uk,English,between,1,younger,,france,ford,rainy,churchill,cadbury milk,spain,labour,beer,2022,spider,london,sunbathing,running,hello!,01-Jan,bbc,daily mail,100,himalayas,pac-man,tesco,jack grealish,top,south africa,queen,big ben,cheeseplant,sand,rose,engine,na,math,birthday,happy birthday,drinking_party,football,robot,gap,sarah,thames,ironing,bible,buckingham palace,citizen kane,euro,soap,doctor,grass,ice cream,labrador,dancing_out
83,5de291b6676a6d2c60fa16e1,30,Male,White,uk,uk,uk,English,within,1,younger,,france,ford,rainy,marie curie,cadbury milk,spain,labour,beer,2001,ant,london,skiing,running,playboy,15-Jan,netflix,the sun,10,everest,halo,morrisons,ronaldo,tshirt,morocco,queen,stonehenge,orchid,sand,rose,wheel,na,math,cheering,another one bites the dust,dancing,football,macarena,lacoste,amy,thames,vacuuming,lord of the rings,gherkin,iron man,euro,toilet,police officer,grass,hotdog,cockapoo,drinking_out
84,5de291b6676a6d2c60fa16e1,30,Male,White,uk,uk,uk,English,between,2,younger,,france,ford,rainy,churchill,cadbury milk,spain,conservative,beer,1965,spider,london,drink_holiday,running,playboy,09-Nov,bbc,the sun,10,everest,minecraft,tesco,roger federer,trousers,kenya,queen,buckingham palace,orchid,shell,rose,door,na,math,cheering,we will rock you,dancing,football,macarena,north face,amy,thames,vacuuming,lord of the rings,buckingham palace,lord of the rings,euro,toilet,police officer,flowers,hotdog,german shepherd,drinking_out
85,5e076921dc85350e8bd07ede,31,Female,Mixed,uk,uk,uk,English,between,1,younger,,france,ford,rainy,churchill,cadbury milk,spain,labour,beer,2000,spider,london,sunbathing,workout at the gym,time,25-Dec,bbc one,guardian,30,ben nevis,pac-man,tesco,beckham,tshirt,cameroon,elvis,big ben,orchid,sand,rose,engine,na,math,birthday,hey jude,eating cake,football,jive,ysl,elizabeth,thames,vacuuming,harry potter,shard,shawshank redemption,american dollar,toilet,doctor,weeds,ice cream,labrador,drinking_out
86,5e076921dc85350e8bd07ede,31,Female,Mixed,uk,uk,uk,English,within,2,younger,,france,audi,sunny,princess diana,galaxy,thailand,labour,gin,2002,spider,london,sunbathing,cycling,hello!,25-Dec,netflix,independent,20,kilimanjaro,minecraft,asda,harry kane,top,ghana,beyonce,eiffel tower,orchid,rubbish,lily,engine,na,art,birthday,umbrella,drinking_party,football,breakdancing,nike,olivia,nile,vacuuming,harry potter,louvre,avatar,euro,shower,doctor,shed,ice cream,pug,drinking_out
87,5e2ee2dd7916f04a5362c88d,57,Female,White,uk,uk,uk,English,within,1,older,,germany,bmw,stormy,lord nelson,cadbury milk,spain,labour,wine,1983,bee,watford,swimming,running,good food,28-Jun,netflix,daily mail,40,everest,spyro,lidl,emma raducanu,dress,zimbabwe,queen,tower bridge,monstera,shell,rose,wheel,na,english,birthday,money money money,drinking_party,football,disco,phase eight,sylvia,thames,vacuuming,viscount down,shard,pirates of the caribeen,american dollar,basin,doctor,shed,pizza,staffordshire bull terrier,dinning_out
88,5e2ee2dd7916f04a5362c88d,57,Female,White,uk,uk,uk,English,between,2,older,,spain,porsche,sunny,charles darwin,cadbury milk,spain,labour,wine,2021,bee,london,sunbathing,running,radio times,28-Jun,netflix,the sun,40,everest,spyro,tesco,tiger woods,dress,south africa,queen,tower bridge,lily,shell,rose,wheel,na,math,birthday,waterloo,drinking_party,football,disco,phase eight,sylvia,thames,vacuuming,viscount down,shard,troll,american dollar,bath,doctor,shed,pizza,staffordshire bull terrier,dancing_out
89,5e529025f1ecb42a44a8eac4,31,Female,White,uk,uk,uk,English,between,1,younger,,uk,bmw,rainy,churchill,cadbury milk,spain,conservative,beer,2020,spider,london,sight seeing,running,country living,13-Dec,bbc,times,18,mont blanc,call of duty,tesco,beckham,trousers,south africa,beatles,statue of liberty,orchid,sand,rose,engine,na,history,christmas,hey jude,drinking_party,football,ballroom,joules,holly,thames,vacuuming,the hobbit,chrysler building,elf,euro,toilet,banker,flowers,hotdog,cocker spaniel,dinning_out
90,5e529025f1ecb42a44a8eac4,31,Female,White,uk,uk,uk,English,within,2,younger,,france,renault,sunny,martin luther king,cadbury milk,croatia,labour,gin,2022,spider,new york,sunbathing,hit workout,vogue,25-Dec,netflix,the sun,100,kilimanjaro,call of duty,aldi,lewis hamilton,tshirt,south africa,lizzo,london eye,cheeseplant,sand,orchid,engine,na,geography,christmas,mr brightside,drinking_party,football,samba,victoria beckham,evie,thames,cleaning,harry potter,gherkin,avengers,euro,bath,influencer,grass,burger,pug,dancing_out
91,5e64fc338ebdaf26e332aec0,27,Male,White,uk,uk,uk,English,within,1,younger,,uk,bmw,rainy,churchill,cadbury milk,france,labour,beer,1995,ant,london,sight seeing,training,top gear,25-Dec,itv,the sun,10,ben nevis,call of duty,lidl,lewis hamilton,tshirt,egypt,the prodigy,stonehenge,bonsai,sand,sunflower,door,na,math,christmas,feel good,dancing,car racing,street dance,fat face,trixie ,thames,washing up,lord of the rings,buckingham palace,the great escape ,euro,soap,mechanic ,plants,noodles,jack russell,dancing_out
92,5e64fc338ebdaf26e332aec0,27,Male,White,uk,uk,uk,English,between,2,younger,,germany,ford,snowy,marie curie,fry's ,spain,labour,beer,1957,fly,truro ,swimming,running,hello!,03-Jan,bbc,daily mail,27,everest,super mario,tesco,george best,hat,libya,genesis,lands end,spider plant ,shell,sunflower,steering wheel,na,art,birthday,stairway to heaven ,games,football,tango,gucci,susan,severn,vacuuming,war of the worlds ,tower of london,top gun,american dollar,toilet roll,doctor,trees,pizza,jack russell,drinking_out
93,5ea01c7e792cdc00099748d6,56,Female,White,uk,uk,uk,English,between,1,older,,uk,bmw,rainy,the queen,cadbury milk,spain,labour,beer,2022,fly,london,swimming,workout at the gym,vogue,13-Dec,bbc,the sun,1,everest,gta,tesco,harry kane,trousers,morocco,ed sheeran,london eye,spider plant,shell,rose,wheel,na,math,birthday,jingle bells,drinking_party,football,hip-hop,gap,amelia,thames,washing up,bible,hospital,batman,euro,bath,police officer,grass,kebab,poodle,drinking_out
94,5ea01c7e792cdc00099748d6,56,Female,White,uk,uk,uk,English,within,2,older,,france,ford,rainy,the queen,cadbury milk,spain,conservative,wine,2022,bee,london,swimming,walking,country life,13-Dec,bbc,daily mail,7,everest,super mario,tesco,harry kane,top,south africa,beatles,stonehenge,spider plant,shell,rose,steering wheel,na,math,birthday,last xmas,talking,football,waltz,m&s,olivia,thames,washing up,bible,hospital,its a wonderful life,euro,bath,nurse,grass,chips,corgi,drinking_out
95,5ea01e6a6eca87021e1db147,65,Male,White,Peru,uk,uk,English,between,1,older,,france,mini,sunny,lord nelson,mars,spain,labour,beer,1966,spider,london,swimming,running,gq,25-Dec,bbc,the sun,100,everest,call of duty,asda,ronaldo,tshirt,nigeria,coldplay,lands end,rubber,shell,rose,engine,na,english,birthday,white christmas,drinking_party,football,tango,h&m,laura,thames,washing up,bible,house of parliament,mary poppins,american dollar,soap,doctor,grass,burger,terrier,drinking_out
96,5ea01e6a6eca87021e1db147,65,Male,White,Peru,uk,uk,English,within,2,older,,france,mini,sunny,lord nelson,mars,france,labour,gin,1966,spider,london,swimming,workout at the gym,radio times,25-Dec,netflix,daily mail,100,everest,nintendo,tesco,ben stokes,trousers,egypt,beatles,tower of london,rubber,towel,daisy,door,na,math,birthday,happy birthday,enjoy yourself,football,twist,m&s,shirley,thames,vacuuming,bible,house of parliament,james bond,american dollar,sponge,laywer,flowers,cheese,german shepherd,have fun
97,5ea031f7e044e104a205f65b,60,Male,White,uk,uk,uk,English,within,2,older,,france,ford,snowy,churchill,cadbury milk,spain,conservative,wine,2022,bee,london,sunbathing,walking,vogue,25-Dec,bbc,times,1,everest,candy crush,tesco,harry kane,coat,kenya,elton john,tower bridge,cheeseplant,shell,rose,engine,na,math,wedding,jingle bells,drinking_party,football,waltz,m&s,mary,thames,ironing,bible,big ben,james bond,american dollar,soap,doctor,grass,chips,collie,drinking_out
98,5ea031f7e044e104a205f65b,60,Male,White,uk,uk,uk,English,between,1,older,,france,ford,rainy,jesus,cadbury milk,spain,labour,beer,2022,bee,london,sunbathing,running,vogue,01-Jan,netflix,times,1,everest,call of duty,tesco,harry kane,tshirt,kenya,adele,big ben,cheeseplant,shell,rose,wheel,na,english,birthday,merry christmas,dancing,football,waltz,levi's,lily,thames,dusting,bible,house of parliament,star wars,american dollar,towel,doctor,flowers,ice cream,labrador,dancing_out
99,5ea15f2e173fb7000932a6ff,64,Male,White,uk,uk,uk,English,between,1,older,,france,bmw,cold,churchill,cadbury milk,spain,labour,beer,2021,ant,london,sunbathing,running,hello!,25-Dec,netflix,daily mail,10,everest,call of duty,tesco,harry kane,jacket,nigeria,coldplay,eiffel tower,rose,shell,tulip,steering wheel,na,math,birthday,how much is your love,drinking_party,football,disco,timberland,jane,thames,vacuuming,wind in the willows,shard,where eagles dare,euro,toilet roll,teacher,grass,kebab,labrador,drinking_out
100,5ea15f2e173fb7000932a6ff,64,Male,White,uk,uk,uk,English,within,2,older,,spain,ford,cloudy,churchill,cadbury milk,spain,conservative,beer,2022,ant,london,sunbathing,walking,what car,31-Dec,bbc,daily express,20,everest,nintendo,tesco,andy murray,coat,south africa,fleetward mac,eiffel tower,lily,shell,rose,wheel,na,english,birthday,how deep is your love,drinking_party,cricket,waltz,lacoste,ann,thames,dusting,wind in the willows,empire state,where eagles dare,euro,toothbrush,accountant,shed,kebab,labrador,drinking_out
101,5ea18fee43087803c739ccef,64,Female,White,uk,uk,uk,English,within,1,older,,france,ford,cold,churchill,cadbury milk,spain,conservative,wine,2023,ant,london,sight seeing,running,yours,25-Dec,itv,daily mail,100,everest,super mario,tesco,ronaldo,top,siera leone,beatles,eiffel tower,lily,sand,rose,door,na,science,birthday,happy birthday,games,football,samba,next,susan,thames,washing up,bible,tower of london,matilda,euro,bath,teacher,flowers,party food,labrador,dancing_out
102,5ea18fee43087803c739ccef,64,Female,White,uk,uk,uk,English,between,2,older,,spain,ford,rainy,mandela,galaxy,spain,labour,cocktail,2022,bee,london,sunbathing,workout at the gym,womans own,25-Dec,netflix,daily mail,100,alps,super mario,asda,gareth southgate,dress,rwanda,queen,buckingham palace,cactus,shell,rose,wheel,na,english,birthday,waterloo,drinking_party,football,twist,tu,sophia,thames,washing up,the spare,tower of london,spiderman,euro,shower,teacher,grass,pizza,german shepherd,drinking_out
103,5ea6b99069cae103f46a06cf,28,Female,White,uk,uk,uk,English,within,1,younger,,germany,peugeot,rainy,shakespeare,cadbury milk,spain,labour,wine,2022,ladybug,nottingham,swimming,jogging,hello!,13-Dec,netflix,daily mail,10,ben nevis,sims,morrisons,jessica ennis hill,top,gambon,n dubs,no idea,lily,sand,rose,engine,na,geography,birthday,sclub party,drinking_party,football,macarena,gucci,amy,trent,dusting,love lessons,eiffel tower,the notebook,euro,toilet,carer,plants,hotdog,labrador,dancing_out
104,5ea6b99069cae103f46a06cf,28,Female,White,uk,uk,uk,English,between,2,younger,,russia,volvo,snowy,hitler,cadbury milk,spain,labour,beer,2022,ant,nottingham,sunbathing,walking,now,13-Dec,bbc one,the sun,10,ben nevis,xbox,morrisons,paula radcliffe,trousers,nigeria,steps,?,aloe vera,shell,tulip,engine,na,math,birthday,the wheels on the bus,dancing,football,jive,new look,amy,trent,dusting,dictionary,eiffel tower,the notebook,euro,toilet,chef,grass,hotdog,labrador,dancing_out
105,5ea87946e363ce2b126ad459,31,Female,Asian,uk,uk,uk,English,within,1,younger,,france,ford,snowy,martin luther king,snickers,spain,conservative,beer,2022,spider,london,sunbathing,running,hello!,25-Dec,bbc,times,10,everest,sims,tesco,ronaldo,top,kenya,coldplay,eiffel tower,spider plant,towel,sunflower,bumper,na,math,birthday,happy birthday,drinking_party,football,electric slide,north face,sophia,thames,dusting,bible,buckingham palace,die hard,american dollar,bath mat,police officer,grass,sandwich,labrador,dancing_out
106,5ea87946e363ce2b126ad459,31,Female,Asian,uk,uk,uk,English,between,2,younger,,france,ford,sunny,churchill,mars,spain,labour,wine,1960,beetle,london,snorkeling,walking,new scientist,24-Dec,bbc,daily telegraph,10,everest,fifa,tesco,bobby moore,top,kenya,beatles,buckingham palace,cheeseplant,sand,rose,engine,na,english,birthday,happy birthday,drinking_party,football,line dance,gap,sophia,nile,mopping,shindlers list,eiffel tower,titanic,american dollar,bath,police officer,bench,apple,poodle,dancing_out
107,5f0c5137e7c978062f4356fc,64,Male,White,uk,uk,uk,English,between,1,older,,uk,ford,sunny,churchill,cadbury milk,spain,labour,beer,2022,ant,london,sunbathing,training,chat,22-Apr,netflix,the sun,10,everest,call of duty,asda,harry kane,tshirt,morocco,arctic monkeys,angel of the north,begonia,sand,rose,engine,na,science,birthday,happy birthday,drinking_party,football,jive,wrangler,susan,thames,washing up,bible,tower of london,red,euro,bath,teacher,grass,burger,labrador,drinking_out
108,5f0c5137e7c978062f4356fc,64,Male,White,uk,uk,uk,English,within,2,older,,uk,ford,sunny,churchill,cadbury milk,france,labour,beer,2022,ant,london,sight seeing,swimming,country life,22-Apr,netflix,times,100,everest,fifa,asda,beckham,trousers,morocco,abba,buckingham palace,lily,sand,rose,wheel,na,math,wedding,happy birthday,dancing,football,tango,wrangler,susan,thames,washing up,bible,buckingham palace,great escape,american dollar,bath,teacher,grass,fish and chips,german shepherd,talk
109,5f594f553dcae718f15d0d57,28,Female,Asian,uk,uk,uk,English,within,1,younger,,france,volskwagen,rainy,julius caesar,mars,italy,labour,cocktail,2000,ant,london,sunbathing,workout at the gym,vogue,Dec-22,netflix,guardian,1,everest,pinball,tesco,harry kane,tshirt,morocco,taylor swift,big ben,orchid,shell,rose,engine,na,math,christmas,crazy in love,drinking_party,football,jive,abercrombie,emily,thames,cleaning,harry potter,buckingham palace,men in black,euro,toilet,teacher,plants,ice cream,labrador,dancing_out
